fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
32,3308760775,Bursera ovalifolia,13.80461,-89.5972,1,2008,20.57083,10.575,77.18978,71.68295,27.6,13.9,13.7,20.51667,20.03333,21.6,19.81667,1972,402,4,96.49451,1062,17,259,52,1229
33,3308751790,Bursera ovalifolia,17.80389,-101.443,7,2011,25.55833,11.2,76.19048,79.53939,32.7,18,14.7,26.05,25.01667,26.48333,24.51667,1165,316,2,116.9365,764,7,442,28,353
34,3308741340,Bursera ovalifolia,16.69806,-95.03972,5,2003,25.10833,9.83333,63.44086,159.75597,33.2,17.7,15.5,25.96667,24.9,26.86667,22.91667,990,216,10,93.74687,559,36,232,57,361
35,3308740596,Bursera ovalifolia,16.66472,-95.00722,12,1995,25.7875,9.175,59.96732,171.95566,33.9,18.6,15.3,26.65,24.2,27.71667,23.43333,1008,246,6,108.72477,605,20,280,22,165
36,3308737250,Bursera ovalifolia,16.68083,-95.02778,12,1995,25.5,9.08333,59.75877,173.15259,33.5,18.3,15.2,26.43333,23.85,27.4,23.11667,967,235,4,110.23175,589,16,267,17,200
37,3308697233,Bursera ovalifolia,15.74525,-96.15153,7,2005,26.975,9.48333,70.77114,97.08244,33.4,20,13.4,27.6,25.61667,28.05,25.61667,1179,267,4,106.95827,665,15,378,15,67
38,3308677592,Bursera ovalifolia,16.61153,-94.95836,10,2002,26.32917,9.525,61.45161,164.7789,34.5,19,15.5,27.16667,24.81667,28.16667,24.08333,1001,249,5,109.31219,597,18,282,19,128
39,3308667526,Bursera ovalifolia,16.62242,-94.96517,9,2002,25.91667,9.75,62.90323,157.38393,34.1,18.6,15.5,26.68333,24.46667,27.7,23.78333,957,235,7,105.45057,559,22,263,26,249
41,3308659929,Bursera ovalifolia,16.66667,-95.02139,7,1996,25.75417,9.05833,59.5943,174.42708,33.8,18.6,15.2,26.68333,24.11667,27.68333,23.36667,1002,245,4,111.02206,612,15,279,15,151
42,3308649113,Bursera ovalifolia,15.9708,-96.1005,11,2004,22.57917,10.64167,85.13333,50.11162,28.7,16.2,12.5,22.9,21.95,23.16667,21.95,1502,311,9,97.60211,807,36,482,36,1219
43,3308642038,Bursera ovalifolia,17.668194,-101.581111,1,1984,27.27083,9.44167,77.39072,89.88525,32.6,20.4,12.2,28.13333,26.3,28.31667,26.11667,1013,285,1,116.74966,654,5,544,22,29
44,3308637295,Bursera ovalifolia,17.10278,-99.49861,11,1970,26.025,10.65,72.94521,99.73827,33.3,18.7,14.6,26.66667,26.01667,27.23333,24.7,1457,355,2,119.53026,940,11,392,22,353
45,3308626736,Bursera ovalifolia,19.501667,-105.033333,6,1982,25.25833,13.15,69.9468,211.29294,32.9,14.1,18.8,27.53333,22.83333,27.6,22.66667,961,261,2,110.29641,637,8,484,41,84
46,3308623094,Bursera ovalifolia,17.16556,-99.52639,5,1970,26.43333,11.13333,72.29438,104.84473,34.1,18.7,15.4,27.06667,26.45,27.75,25.06667,1415,347,2,119.61009,914,10,383,24,261
47,3308614757,Bursera ovalifolia,15.99831,-95.69853,9,2002,27.5125,11.34167,76.11857,79.88985,34.8,19.9,14.9,27.91667,26.48333,28.46667,26.48333,940,223,2,110.24691,542,11,300,11,85
48,3308586574,Bursera ovalifolia,15.86222,-95.9069,1,1998,27.22083,10.625,74.82395,83.35189,34.1,19.9,14.2,27.66667,26.11667,28.21667,26.11667,1108,256,3,109.36144,632,13,356,13,101
49,3308583249,Bursera ovalifolia,16.39,-95.341389,12,1998,25.4375,12.70833,79.42708,70.90729,33.4,17.4,16,25.75,24.6,26.35,24.6,697,144,2,103.01917,414,12,208,12,855
50,3308580458,Bursera ovalifolia,20.379139,-105.397083,3,1986,22.5625,14.64167,67.47312,236.22144,32,10.3,21.7,25.06667,21.8,25.11667,19.65,1431,383,2,122.90063,1046,13,819,61,507
51,3308566421,Bursera ovalifolia,16.829444,-93.080278,5,1984,21.02917,12.975,68.65079,159.92126,30.3,11.4,18.9,21.88333,19.55,22.8,18.83333,1100,225,8,98.67554,614,27,333,33,1321
52,3308559515,Bursera ovalifolia,15.98325,-95.62311,7,2000,27.64167,11.18333,76.59818,81.0116,34.8,20.2,14.6,28.08333,26.58333,28.6,26.58333,924,222,2,112.76222,541,8,296,8,45
53,3308553710,Bursera ovalifolia,15.98528,-95.62389,10,1999,27.28333,11.33333,77.62556,76.64364,34.4,19.8,14.6,27.68333,26.3,28.2,26.3,893,215,2,112.21822,523,8,290,8,172
54,3308552236,Bursera ovalifolia,16.02111,-95.42056,8,1999,27.82917,11.775,76.46104,84.57,35.4,20,15.4,28.23333,26.73333,28.81667,26.73333,861,211,1,115.53252,511,5,277,5,98
55,3308551383,Bursera ovalifolia,16.751347,-93.346253,7,1990,22.85,13.05,67.96875,173.99057,32.5,13.3,19.2,24.08333,22.76667,24.81667,20.5,1012,201,11,92.47941,540,39,295,49,1029
56,3308505513,Bursera ovalifolia,16.13333,-92.36222,9,1988,24.1875,12.84167,66.19416,155.41914,34,14.6,19.4,24.63333,22.18333,26.06667,22.18333,1235,276,3,101.47811,647,12,388,12,714
57,3308470207,Bursera ovalifolia,18.292503,-103.395153,9,1983,26.42917,11.54167,74.46236,149.1561,32.9,17.4,15.5,27.95,24.65,28.08333,24.53333,886,226,1,115.26738,609,7,504,26,84
58,3308402258,Bursera ovalifolia,16.383333,-95.316667,10,1985,26.80833,11.96667,72.96748,108.93771,35,18.6,16.4,27.45,25.8,28.1,25.36667,639,158,0,119.15289,401,2,198,2,314
59,3308370031,Bursera ovalifolia,16.241667,-95.308333,5,1986,27.44583,11.75833,72.5823,115.96353,35.5,19.3,16.2,28.18333,25.86667,28.75,25.86667,827,202,2,115.17596,494,8,255,8,87
60,3308258529,Bursera ovalifolia,17.14,-99.541667,8,1978,26.7375,10.775,71.83333,105.55318,34.2,19.2,15,27.41667,26.71667,28.01667,25.33333,1366,331,2,119.68258,882,10,368,22,169
61,3308247663,Bursera ovalifolia,16.928889,-92.905278,5,1975,19.20833,13.41667,68.45238,161.96005,28.7,9.1,19.6,20.03333,17.81667,21.01667,17,1248,251,11,94.06814,674,40,378,41,1590
62,3308197860,Bursera ovalifolia,19.303208,-102.072283,10,1961,20.825,15.76667,67.6681,173.80107,32.1,8.8,23.3,21.56667,20.41667,22.86667,18.48333,935,227,3,112.47775,609,13,207,31,1393
63,3308176142,Bursera ovalifolia,16.5272,-92.4347,6,1945,17.97917,13.54167,70.16408,152.3223,27.1,7.8,19.3,19.2,15.86667,19.51667,15.86667,1105,230,4,92.52476,553,22,390,22,1811
64,3308168310,Bursera ovalifolia,17.12272,-93.2104,1,2015,22.7375,11.975,63.02631,204.81837,32.4,13.4,19,23.48333,22.4,24.91667,19.91667,2161,338,60,52.88413,889,217,474,326,761
65,3308140594,Bursera ovalifolia,16.72128,-94.7505,11,2014,25.5375,9.69167,59.8251,190.09717,34,17.8,16.2,26.63333,25.26667,27.56667,22.91667,1527,320,22,77.75701,748,80,323,154,198
66,3308124567,Bursera ovalifolia,16.66667,-95.01139,10,1995,25.75417,9.075,59.31372,174.67448,33.9,18.6,15.3,26.65,24.13333,27.7,23.36667,1012,247,5,110.05798,614,17,281,18,154
67,3308120008,Bursera ovalifolia,16.38222,-95.30722,8,2009,27.725,12.1,72.45509,116.94016,36,19.3,16.7,28.45,26.13333,29.06667,26.13333,824,203,1,119.76572,517,4,248,4,80
68,3308118211,Bursera ovalifolia,16.65806,-95.01111,8,2002,26.0875,9.15833,59.85838,172.66791,34.2,18.9,15.3,26.96667,24.5,28.01667,23.73333,1022,251,4,111.30736,626,15,283,15,108
69,3308102847,Bursera ovalifolia,13.8075,-89.61833,7,2007,20.76667,10.66667,77.85888,68.40168,27.7,14,13.7,20.73333,20.23333,21.73333,20.05,1965,404,6,96.3795,1051,21,245,58,1200
70,3308098524,Bursera ovalifolia,13.2,-86.3,10,1999,19.38333,10.28333,69.95464,104.95311,26.7,12,14.7,19.86667,18.46667,20.51667,17.95,1313,238,16,78.7943,600,64,427,79,1281
71,3308094304,Bursera ovalifolia,19.14389,-104.025,7,2009,24.30417,13.55833,74.08925,142.21397,32.7,14.4,18.3,25.58333,23.01667,25.86667,22.48333,1111,274,1,116.51736,775,8,641,31,629
72,3308079706,Bursera ovalifolia,15.98731,-96.09564,4,2005,23.34167,11.21667,80.11905,87.92645,29.8,15.8,14,24.06667,22.1,24.23333,22.1,1137,244,3,103.09425,628,15,509,15,703
73,3308078132,Bursera ovalifolia,16.44811,-94.09703,9,2010,24.14583,11.95833,72.47475,132.10634,32,15.5,16.5,25.18333,22.53333,25.46667,22.3,668,144,2,106.45655,403,10,210,11,665
74,3308069800,Bursera ovalifolia,15.99194,-96.10722,5,2001,22.6875,11.20833,81.81264,74.77619,29.1,15.4,13.7,23.13333,21.65,23.46667,21.65,1260,263,4,99.76347,683,22,404,22,919
75,3308064343,Bursera ovalifolia,16.40944,-94.04556,7,2004,24.6,11.78333,72.29039,137.19595,32.3,16,16.3,25.71667,22.66667,25.95,22.66667,822,176,1,111.06622,505,6,257,6,538
76,3308063037,Bursera ovalifolia,16.61219,-94.95817,9,2002,26.12083,9.59167,61.88172,161.23753,34.3,18.8,15.5,26.9,24.63333,27.95,23.93333,980,243,7,107.17314,576,21,274,25,188
77,3308058378,Bursera ovalifolia,15.745,-96.15108,7,2005,26.975,9.48333,70.77114,97.08244,33.4,20,13.4,27.6,25.61667,28.05,25.61667,1179,267,4,106.95827,665,15,378,15,67
78,3308057009,Bursera ovalifolia,16.61242,-94.95647,8,2002,26.12083,9.59167,61.88172,161.23753,34.3,18.8,15.5,26.9,24.63333,27.95,23.93333,980,243,7,107.17314,576,21,274,25,188
79,3308056523,Bursera ovalifolia,20.36515,-105.378525,10,1985,22.375,14.88333,67.3454,238.64676,32,9.9,22.1,24.91667,21.61667,24.96667,19.43333,1486,394,2,122.44405,1082,14,851,62,542
80,3308052118,Bursera ovalifolia,15.97289,-96.11553,10,2005,22.30417,10.525,85.56911,45.55007,28.4,16.1,12.3,22.51667,21.78333,22.86667,21.78333,1530,317,10,96.58844,817,41,492,41,1378
81,3308052016,Bursera ovalifolia,15.97728,-96.12178,5,2005,22.32917,10.75833,84.04948,50.96604,28.6,15.8,12.8,22.61667,21.7,22.93333,21.7,1526,315,9,97.38862,818,37,488,37,1250
82,3308050353,Bursera ovalifolia,16.59992,-94.89247,8,2002,25.60417,9.475,63.16666,156.56047,33.4,18.4,15,26.46667,24.08333,27.3,23.43333,994,242,8,101.72959,566,27,269,35,260
83,3308034789,Bursera ovalifolia,16.826708,-93.088439,10,1989,21.92917,12.975,67.57813,169.88576,31.4,12.2,19.2,22.83333,20.36667,23.81667,19.6,1114,226,10,95.93609,610,32,333,40,1131
84,3308024763,Bursera ovalifolia,16.74314,-94.96761,9,2002,25.45417,10.05833,60.22954,181.00047,34.4,17.7,16.7,26.26667,25.41667,27.56667,23.05,1292,275,18,86.44372,695,61,289,102,274
85,3308021782,Bursera ovalifolia,16.74333,-94.98717,10,2002,25.50833,9.75,59.0909,184.45047,34.4,17.9,16.5,26.35,25.45,27.65,23.05,1263,276,15,91.631,701,51,297,84,215
