fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
299,1419209422,Bursera kerberi,19.337533,-100.640068,5,1973,22.36667,16.08333,64.5917,203.27246,34.8,9.9,24.9,22.6,22.66667,25.13333,19.91667,1068,242,3,112.00048,686,21,234,24,1057
300,1419191628,Bursera kerberi,19.344444,-103.823611,6,1984,24.9875,15.04167,73.0178,141.80852,35,14.4,20.6,25.96667,24.08333,26.53333,23.06667,914,218,1,113.02744,624,8,338,44,687
301,1261532537,Bursera kerberi,21.083333,-104.233333,6,1987,23.67083,16.825,63.49056,258.95294,36.7,10.2,26.5,25.93333,22.86667,26.5,20.18333,921,272,2,124.52432,661,14,453,41,1034
302,1259251254,Bursera kerberi,20.996389,-104.073889,7,1975,22.25,18.2,64.53901,260.9946,36,7.8,28.2,24.55,21.5,25.13333,18.76667,863,239,2,123.13795,621,13,428,37,1373
303,1259250893,Bursera kerberi,20.858333,-103.865833,10,1893,20.70833,16.88333,63.71069,271.47604,33.6,7.1,26.5,23.11667,19.96667,23.63333,17.05,760,201,1,119.07613,535,14,373,34,1462
304,1259249584,Bursera kerberi,19.7775,-104.131389,8,1992,23.125,17.03333,66.02067,223.78459,35.4,9.6,25.8,24.68333,22.11667,25.45,20.01667,792,189,2,111.55519,513,17,355,38,892
305,1259249266,Bursera kerberi,19.123611,-102.341111,8,1941,25.20417,15.69167,69.74074,155.7308,36.5,14,22.5,25.45,25.13333,27.26667,23.2,882,208,4,112.63031,571,12,192,30,591
306,1259248781,Bursera kerberi,21.116667,-104.583333,8,1990,22.12917,17.09167,64.01373,257.12979,35,8.3,26.7,24.16667,22.58333,24.75,18.61667,1036,299,2,122.45859,720,14,486,52,1006
307,1259248141,Bursera kerberi,19.246944,-100.478056,7,1978,22.3875,15.85833,65.80222,179.21706,34.8,10.7,24.1,22.2,22.8,24.96667,20.41667,1043,229,3,110.02534,657,20,245,26,1230
308,1228583015,Bursera kerberi,22,-105,8,1990,25.6375,14.375,67.1729,243.09676,35.6,14.2,21.4,27.76667,25.41667,28.11667,22.41667,1361,372,2,125.33521,1016,13,880,76,364
