species,decimalLongitude,decimalLatitude,month,year,gbifID,geometry,elev,bio_03,bio_05,bio_06,bio_10,bio_13,bio_14,bio_17,bio_18,bio_19
Icterus auratus,-87.75977,21.43489,12,2021,5600979990,"c(-87.75977, 21.43489)",7,22.850000381469727,136,29,311,71.30149841308594,189.2504425048828,17.80000114440918,26.799999237060547,24.399999618530273
Icterus auratus,-89.02544,20.810747,8,2024,5597117367,"c(-89.02544, 20.810747)",17,23.016666412353516,180,20,361,68.028045654296875,198.19021606445313,20.200000762939453,27.08333396911621,25.316667556762695
Icterus auratus,-88.43552,20.793173,6,2018,5588416892,"c(-88.43552, 20.793173)",32,23.183332443237305,209,33,455,70.64102935791016,185.45347595214844,19.5,27.183334350585938,23.816667556762695
Icterus auratus,-87.06481,20.777596,12,2024,5578181290,"c(-87.06481, 20.777596)",8,23.25,202,41,410,64.86199188232422,196.54208374023438,15.700000762939453,27.233333587646484,24.71666717529297
Icterus auratus,-87.57079,21.164263,1,2024,5575725728,"c(-87.57079, 21.164263)",12,22.616666793823242,189,41,445,70.22570037841797,191.0655975341797,19.19999885559082,26.566665649414063,24.21666717529297
Icterus auratus,-90.220024,20.366755,8,2021,5575393163,"c(-90.220024, 20.366755)",5,24.25,184,16,247,69.401702880859375,178.6544952392578,19.500001907348633,27.78333282470703,26.46666717529297
Icterus auratus,-89.17713,20.857388,8,2024,5574058783,"c(-89.17713, 20.857388)",17,22.983333587646484,172,20,361,67.61083221435547,201.1722412109375,20.30000114440918,27.116666793823242,25.299999237060547
Icterus auratus,-89.06989,18.11049,7,2017,5572448510,"c(-89.06989, 18.11049)",137,22.649999618530273,205,30,436,73.41712951660156,167.93475341796875,17.900001525878906,26.16666603088379,24.383333206176758
Icterus auratus,-87.49018,20.814186,3,2024,5567311963,"c(-87.49018, 20.814186)",22,22.83333396911621,204,44,458,70.41199493408203,188.45465087890625,17.799999237060547,26.666667938232422,24.350000381469727
Icterus auratus,-89.52755,20.897573,8,2024,5564276943,"c(-89.52755, 20.897573)",14,23.049999237060547,171,23,239,66.41666412353516,202.2412567138672,20.000001907348633,27.133333206176758,25.433334350585938
Icterus auratus,-89.78773,20.410702,8,2022,5552263952,"c(-89.78773, 20.410702)",55,22.766666412353516,199,24,285,66.78348541259766,209.53907775878906,21.400001525878906,26.96666717529297,23.649999618530273
Icterus auratus,-87.133965,20.687328,11,2024,5551778466,"c(-87.133965, 20.687328)",15,23.25,208,41,420,65.80644989013672,192.35975646972656,15.5,27.149999618530273,24.683334350585938
Icterus auratus,-87.6309,18.976353,1,2004,5550505824,"c(-87.6309, 18.976353)",6,24.450000762939453,215,33,425,69.61943054199219,150.4104461669922,12.69999885559082,26.78333282470703,25.683334350585938
Icterus auratus,-88.130875,21.47455,12,2020,5549851136,"c(-88.130875, 21.47455)",4,23.299999237060547,156,23,295,71.421844482421875,177.66319274902344,17.700000762939453,26.883333206176758,25.099998474121094
Icterus auratus,-89.89499,20.67082,9,2024,5533150624,"c(-89.89499, 20.67082)",11,23.516666412353516,181,22,264,68.58333587646484,191.0001220703125,19.999998092651367,27.366666793823242,25.816665649414063
Icterus auratus,-87.770935,18.601515,5,2024,5528244735,"c(-87.770935, 18.601515)",11,24.383333206176758,222,27,420,67.6912612915039,153.8612823486328,12.19999885559082,26.71666717529297,25.816665649414063
Icterus auratus,-87.8465,21.1173,1,2015,5526428046,"c(-87.8465, 21.1173)",17,22.983333587646484,161,38,380,71.68412780761719,183.58126831054688,19.099998474121094,27.149999618530273,23.483333587646484
Icterus auratus,-88.09009,20.967875,3,2024,5526064053,"c(-88.09009, 20.967875)",22,23.16666603088379,193,39,444,71.89118957519531,183.12265014648438,19.299999237060547,27.233333587646484,23.71666717529297
Icterus auratus,-89.41699,18.588762,10,2016,5524423294,"c(-89.41699, 18.588762)",266,22.066667556762695,179,22,337,70.26412200927734,184.52793884277344,18.299999237060547,25.516666412353516,24.266666412353516
Icterus auratus,-90.23063,19.59715,6,2024,5523553431,"c(-90.23063, 19.59715)",29,23.600000381469727,242,23,294,64.0625,214.2441864013672,20.799999237060547,27.71666717529297,26.149999618530273
Icterus auratus,-87.995255,20.658453,2,2011,5519886368,"c(-87.995255, 20.658453)",22,23.28333282470703,172,39,382,71.416229248046875,183.26580810546875,19.299999237060547,27.350000381469727,23.78333282470703
Icterus auratus,-88.478096,18.229753,5,2021,5509370538,"c(-88.478096, 18.229753)",9,23.483333587646484,223,27,492,68.3226547241211,174.0879669189453,15.599998474121094,27.483333587646484,25.299999237060547
Icterus auratus,-90.09912,20.742002,4,2024,5497825370,"c(-90.09912, 20.742002)",7,23.983333587646484,155,14,216,70.78853607177734,174.6490020751953,18.599998474121094,27.58333396911621,26.116666793823242
Icterus auratus,-88.81352,20.799849,11,2008,5489503652,"c(-88.81352, 20.799849)",27,23.03333282470703,194,25,394,69.26020050048828,190.74168395996094,19.600000381469727,27.03333282470703,23.766666412353516
Icterus auratus,-89.97602,21.10288,5,2024,5461654221,"c(-89.97602, 21.10288)",4,23.5,129,14,238,67.34893035888672,189.98007202148438,17.099998474121094,27.616666793823242,25.566665649414063
Icterus auratus,-87.88788,18.771114,1,2015,5459587072,"c(-87.88788, 18.771114)",1,24.383333206176758,216,32,436,69.80769348144531,151.61441040039063,13,26.816665649414063,25.66666603088379
Icterus auratus,-87.61745,20.076187,9,2024,5455794896,"c(-87.61745, 20.076187)",14,23.633333206176758,187,37,390,71.42857360839844,164.51490783691406,15.399999618530273,27.03333282470703,24.983333587646484
Icterus auratus,-87.73706,18.707281,2,2024,5440127405,"c(-87.73706, 18.707281)",13,24.399999618530273,219,29,422,68.81719970703125,152.81204223632813,12.400001525878906,26.733333587646484,25.799999237060547
Icterus auratus,-88.17311,20.56638,5,2021,5439258735,"c(-88.17311, 20.56638)",25,23.299999237060547,191,35,400,71.30101776123047,182.53839111328125,19.600000381469727,27.28333282470703,23.850000381469727
Icterus auratus,-89.71183,20.594984,5,2024,5430152920,"c(-89.71183, 20.594984)",14,23.016666412353516,193,24,270,67.38094329833984,205.88319396972656,21.000001907348633,27.133333206176758,25.483333587646484
Icterus auratus,-92.24068,18.629314,3,2024,5427093277,"c(-92.24068, 18.629314)",2,23.899999618530273,256,27,397,62.370601654052734,203.88414001464844,16.099998474121094,27.71666717529297,26.183334350585938
Icterus auratus,-90.22571,19.96524,2,2024,5426600991,"c(-90.22571, 19.96524)",22,23.733333587646484,238,19,277,65.68876647949219,201.7137908935547,19.60000228881836,27.683334350585938,26.133333206176758
Icterus auratus,-90.747185,19.320875,4,2024,5417089933,"c(-90.747185, 19.320875)",1,23.433334350585938,249,16,269,64.45671844482422,203.73777770996094,18.100000381469727,27.549999237060547,25.733333587646484
Icterus auratus,-87.41551,21.346544,7,2017,5413742465,"c(-87.41551, 21.346544)",17,22.383333206176758,197,35,451,69.69274139404297,197.17849731445313,17.899999618530273,26.96666717529297,23.799999237060547
Icterus auratus,-88.234215,21.413143,1,2016,5411232215,"c(-88.234215, 21.413143)",7,23.28333282470703,175,27,343,71.12932586669922,180.94447326660156,18.299999237060547,27.316665649414063,25.16666603088379
Icterus auratus,-89.60674,20.581915,12,2021,5406467779,"c(-89.60674, 20.581915)",15,22.983333587646484,193,25,270,67.09703063964844,205.61944580078125,21.299999237060547,27.049999237060547,23.883333206176758
Icterus auratus,-88.45848,20.671953,6,2024,5405238338,"c(-88.45848, 20.671953)",33,23.233333587646484,208,31,436,70.25000762939453,188.08644104003906,19.999998092651367,27.25,23.866666793823242
Icterus auratus,-87.22299,20.50596,5,2024,5402696176,"c(-87.22299, 20.50596)",3,23.600000381469727,215,36,414,66.55554962158203,178.18531799316406,15.000001907348633,27.16666603088379,25.03333282470703
Icterus auratus,-89.03126,21.28115,5,2024,5398226746,"c(-89.03126, 21.28115)",4,23.100000381469727,149,19,295,69.25438690185547,188.56063842773438,19,27.100000381469727,25.233333587646484
Icterus auratus,-90.41323,20.088066,6,1999,5396959089,"c(-90.41323, 20.088066)",6,23.850000381469727,214,16,398,66.53153228759766,196.47413635253906,18.5,27.933334350585938,26.016666412353516
Icterus auratus,-87.64328,21.456984,2,2016,5395797675,"c(-87.64328, 21.456984)",8,22.78333282470703,144,29,318,70.279388427734375,188.79351806640625,17.299999237060547,26.766666412353516,24.21666717529297
Icterus auratus,-88.001305,21.138948,5,2014,5373447650,"c(-88.001305, 21.138948)",24,23.03333282470703,168,37,404,71.28669738769531,186.85342407226563,19.30000114440918,27.21666717529297,23.58333396911621
Icterus auratus,-88.29868,20.996502,2,2014,5370039656,"c(-88.29868, 20.996502)",27,23.100000381469727,214,36,484,70.76923370361328,184.89964294433594,19.499998092651367,27.133333206176758,23.700000762939453
Icterus auratus,-89.300285,20.947367,12,2024,5367324039,"c(-89.300285, 20.947367)",16,22.91666603088379,166,20,234,66.877105712890625,203.39308166503906,19.799999237060547,27.049999237060547,25.299999237060547
Icterus auratus,-89.81081,21.026741,10,2024,5363561774,"c(-89.81081, 21.026741)",7,23.266666412353516,155,20,307,66.98717498779297,194.66900634765625,18.200000762939453,27.316667556762695,25.516666412353516
Icterus auratus,-88.16082,21.097563,2,2024,5363273725,"c(-88.16082, 21.097563)",23,23.100000381469727,205,39,471,71.34880065917969,185.35133361816406,19.399999618530273,27.21666717529297,23.683332443237305
Icterus auratus,-87.0536,21.009432,6,2022,5362369178,"c(-87.0536, 21.009432)",18,22.883333206176758,197,42,408,66.31526184082031,202.68043518066406,16.600000381469727,27.066667556762695,24.383333206176758
Icterus auratus,-87.203125,21.00894,5,2008,5361999069,"c(-87.203125, 21.00894)",10,22.78333282470703,202,43,428,68.79845428466797,200.6107940673828,17.19999885559082,26.933332443237305,24.333332061767578
Icterus auratus,-89.62673,20.74436,10,2024,5360657954,"c(-89.62673, 20.74436)",15,23.133333206176758,183,24,254,67.15210723876953,201.90380859375,20.599998474121094,27.116666793823242,25.549999237060547
Icterus auratus,-90.868095,18.615746,1,2024,5356604501,"c(-90.868095, 18.615746)",53,23.600000381469727,257,22,308,64.74037170410156,210.75442504882813,19.899999618530273,27.616666793823242,26.16666603088379
Icterus auratus,-87.74599,20.800493,6,2021,5339307284,"c(-87.74599, 20.800493)",22,23.133333206176758,172,43,438,72.31182861328125,181.6777801513672,18.599998474121094,27.266666412353516,23.58333396911621
Icterus auratus,-88.468765,21.173319,6,2024,5334745355,"c(-88.468765, 21.173319)",12,23.399999618530273,199,36,458,71.1139907836914,176.04396057128906,19.299999237060547,27.149999618530273,25.33333396911621
Icterus auratus,-87.662224,20.594604,4,2012,5329731161,"c(-87.662224, 20.594604)",20,22.933332443237305,187,44,421,71.52381134033203,182.1837615966797,17.5,26.616666793823242,24.399999618530273
Icterus auratus,-89.80561,18.109438,12,2022,5327279705,"c(-89.80561, 18.109438)",244,22.700000762939453,231,29,389,68.53741455078125,202.67901611328125,19.599998474121094,26.383333206176758,25.049999237060547
Icterus auratus,-89.48223,19.976543,1,2024,5321575179,"c(-89.48223, 19.976543)",158,22.399999618530273,198,23,388,67.93650817871094,200.9730224609375,21,26.5,23.266666412353516
Icterus auratus,-87.49723,20.290648,2,2024,5313092884,"c(-87.49723, 20.290648)",19,23.316665649414063,194,39,377,70.382171630859375,169.44876098632813,15.69999885559082,26.799999237060547,24.733333587646484
Icterus auratus,-90.36129,19.921185,12,2017,5310298994,"c(-90.36129, 19.921185)",3,23.766666412353516,234,17,260,65.41450500488281,204.2887725830078,19.30000114440918,27.883333206176758,26.116666793823242
Icterus auratus,-90.39653,19.407722,4,2024,5303566586,"c(-90.39653, 19.407722)",16,23.450000762939453,255,19,287,63.75000762939453,215.34854125976563,19.999998092651367,27.633333206176758,25.96666717529297
Icterus auratus,-89.25293,18.16249,4,2022,5219274351,"c(-89.25293, 18.16249)",232,22.399999618530273,211,30,413,72.50000762939453,181.57717895507813,19,26,24.366666793823242
Icterus auratus,-89.63881,20.870136,3,2023,4844945929,"c(-89.63881, 20.870136)",13,23.200000762939453,176,23,242,67.21379852294922,199.02175903320313,19.80000114440918,27.200000762939453,25.566665649414063
Icterus auratus,-88.75811,19.276339,10,2023,4842132680,"c(-88.75811, 19.276339)",74,23.183332443237305,162,24,345,72.40437316894531,170.5539093017578,18.299999237060547,27.016666412353516,25.05000114440918
Icterus auratus,-87.85459,18.89773,12,2023,4842027220,"c(-87.85459, 18.89773)",4,24.183334350585938,214,35,438,70.55961608886719,154.43934631347656,13.69999885559082,26.600000381469727,25.516666412353516
Icterus auratus,-90.653725,18.77956,5,2023,4838046789,"c(-90.653725, 18.77956)",80,23.149999618530273,254,20,288,64.54081726074219,215.51734924316406,19.600000381469727,27.350000381469727,25.733333587646484
Icterus auratus,-88.25146,21.508018,12,2023,4826906403,"c(-88.25146, 21.508018)",4,23.33333396911621,150,21,286,71.36627960205078,177.4242401123047,17.200000762939453,26.933334350585938,25.100000381469727
Icterus auratus,-89.42621,20.905586,7,2023,4826124918,"c(-89.42621, 20.905586)",16,23.049999237060547,169,22,236,66.91667175292969,201.23294067382813,20,27.08333396911621,25.433334350585938
Icterus auratus,-88.284325,21.244473,1,2023,4820399050,"c(-88.284325, 21.244473)",13,23.149999618530273,197,35,429,70.703125,186.44346618652344,19.19999885559082,27.233333587646484,25.08333396911621
