species,month,year,gbifID,geometry,decimalLatitude,decimalLongitude,elev,ID,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_08,bio_09,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Icterus auratus,7,2012,977599779,"c(-88.15559, 21.571148)",21.571148,-88.15559,6,23,25.695833206176758,27.433334350585938,23.21666717529297,751,126,18,53.96063995361328,307,74,265,121,11.325000762939453,70.78125,177.3986053466797,33.20000076293945,17.200000762939453,16,26.899999618530273,24.883333206176758
Icterus auratus,11,1996,977425470,"c(-88.5691, 20.676647)",20.676647,-88.5691,34,24,25.799999237060547,27.766666412353516,23.25,1218,207,30,64.58815002441406,559,105,433,123,14.100000381469727,70.14925384521484,187.09500122070313,35.70000076293945,15.600000381469727,20.100000381469727,27.21666717529297,23.916667938232422
Icterus auratus,12,2013,977340719,"c(-88.51333, 20.56851)",20.56851,-88.51333,29,25,25.850000381469727,27.816665649414063,23.28333282470703,1202,207,32,64.76448059082031,550,105,425,117,14.216666221618652,70.03284454345703,187.50758361816406,35.79999923706055,15.5,20.299999237060547,27.266666412353516,23.94999885559082
Icterus auratus,3,2007,977227821,"c(-87.315506, 20.394377)",20.394377,-87.315506,3,26,25.945833206176758,27.80000114440918,23.600000381469727,1252,210,36,55.73525619506836,537,129,399,177,10.17500114440918,67.83332824707031,173.95741271972656,32.900001525878906,17.899999618530273,15.000001907348633,27.116666793823242,24.96666717529297
Icterus auratus,4,2005,977111581,"c(-88.35324, 18.732037)",18.732037,-88.35324,10,27,25.883333206176758,27.399999618530273,23.666667938232422,1108,164,28,51.43330764770508,432,111,432,173,10.133333206176758,70.86247253417969,157.4127655029297,32.5,18.200000762939453,14.299999237060547,27.399999618530273,25.233333587646484
Icterus auratus,4,2005,977069361,"c(-87.742035, 18.778984)",18.778984,-87.742035,1,28,26.58333396911621,28.100000381469727,24.5,1412,217,32,51.853187561035156,578,123,424,247,8.683333396911621,69.4666748046875,150.7606964111328,32.599998474121094,20.100000381469727,12.499998092651367,26.866666793823242,25.78333282470703
Icterus auratus,1,2013,977041861,"c(-89.65451, 21.042786)",21.042786,-89.65451,8,29,26.02083396911621,28.03333282470703,23.316665649414063,912,158,22,66.99678802490234,425,70,324,102,12.508333206176758,66.53368377685547,195.61627197265625,35.400001525878906,16.600000381469727,18.80000114440918,27.316667556762695,25.566665649414063
Icterus auratus,12,2013,976811197,"c(-89.77055, 20.35963)",20.35963,-89.77055,53,30,25.549999237060547,27.733333587646484,22.700000762939453,1105,202,22,73.394500732421875,540,80,284,82,14.133333206176758,66.66666412353516,208.40301513671875,36.20000076293945,15,21.200000762939453,26.866666793823242,23.566665649414063
Icterus auratus,4,2008,976689485,"c(-87.25981, 20.478361)",20.478361,-87.25981,8,31,25.90416717529297,27.80000114440918,23.46666717529297,1278,213,36,56.31697082519531,553,132,410,174,10.241666793823242,66.938995361328125,180.22030639648438,32.900001525878906,17.600000381469727,15.30000114440918,27.116666793823242,24.933334350585938
Icterus auratus,3,2010,976642725,"c(-86.991005, 20.858755)",20.858755,-86.991005,12,32,25.866666793823242,28.03333282470703,23.21666717529297,1308,198,43,46.7581672668457,525,151,397,223,10.133333206176758,64.54351806640625,199.4234161376953,33.20000076293945,17.5,15.700000762939453,27.28333282470703,24.633333206176758
Icterus auratus,3,2009,975632854,"c(-87.5834, 20.129635)",20.129635,-87.5834,11,33,25.837499618530273,27.533334732055664,23.58333396911621,1210,189,38,51.6286735534668,499,131,384,188,11.02500057220459,70.67308044433594,165.00863647460938,33,17.399999618530273,15.600000381469727,26.96666717529297,24.933334350585938
Icterus auratus,1,2012,975013198,"c(-87.29893, 20.425556)",20.425556,-87.29893,9,34,25.891666412353516,27.75,23.53333282470703,1262,211,36,56.01726531982422,544,130,404,176,10.216667175292969,67.6600341796875,175.32870483398438,32.900001525878906,17.799999237060547,15.10000228881836,27.08333396911621,24.916667938232422
Icterus auratus,12,2013,974730816,"c(-87.21359, 20.985804)",20.985804,-87.21359,7,35,25.537500381469727,27.633333206176758,22.816665649414063,1252,202,43,53.07560729980469,527,140,427,167,11.791666030883789,68.55620574951172,201.0441436767578,33.29999923706055,16.100000381469727,17.19999885559082,26.96666717529297,24.349998474121094
Icterus auratus,12,2013,974704872,"c(-88.04036, 21.560295)",21.560295,-88.04036,6,36,25.700000762939453,27.483333587646484,23.21666717529297,782,130,21,53.89358139038086,321,79,278,121,11.533332824707031,71.19342041015625,178.69473266601563,33.29999923706055,17.100000381469727,16.19999885559082,26.966665267944336,24.799999237060547
Icterus auratus,12,2013,974703715,"c(-86.92383, 21.330315)",21.330315,-86.92383,4,37,25.737499237060547,27.91666603088379,23.066665649414063,1193,191,38,49.183067321777344,480,134,401,178,10.375,65.66455078125,202.03651428222656,33.20000076293945,17.399999618530273,15.80000114440918,27.25,24.433334350585938
Icterus auratus,3,2010,974685086,"c(-87.49649, 20.232563)",20.232563,-87.49649,13,38,25.77916717529297,27.46666717529297,23.53333282470703,1204,196,38,51.55733108520508,492,131,372,196,10.841667175292969,70.40043640136719,164.14321899414063,32.79999923706055,17.399999618530273,15.399999618530273,26.91666603088379,24.883333206176758
Icterus auratus,1,2011,974475833,"c(-87.442635, 20.18652)",20.18652,-87.442635,8,39,25.97083282470703,27.633333206176758,23.78333282470703,1186,204,35,55.974388122558594,501,122,371,171,10.458333015441895,70.66442108154297,160.13430786132813,32.79999923706055,18,14.799999237060547,27.049999237060547,25.116666793823242
Icterus auratus,11,2013,973871666,"c(-87.94688, 19.626913)",19.626913,-87.94688,16,41,26.0625,27.766666412353516,23.75,1271,211,38,54.04878616333008,529,131,441,168,11.158332824707031,70.17820739746094,169.61351013183594,33.599998474121094,17.700000762939453,15.89999771118164,27.233333587646484,25.133333206176758
Icterus auratus,11,2013,973787008,"c(-88.14099, 21.571728)",21.571728,-88.14099,6,42,25.70833396911621,27.450000762939453,23.233333587646484,752,125,18,53.10975646972656,305,75,263,123,11.366666793823242,71.04167175292969,176.94161987304688,33.20000076293945,17.200000762939453,16,26.916667938232422,24.899999618530273
Icterus auratus,11,2013,973273347,"c(-87.335365, 20.368225)",20.368225,-87.335365,6,43,25.920833587646484,27.71666717529297,23.616666793823242,1240,209,36,55.58554458618164,530,128,393,176,10.241666793823242,68.73602294921875,169.8723907470703,32.79999923706055,17.899999618530273,14.899999618530273,27.08333396911621,24.96666717529297
Icterus auratus,6,1994,973221500,"c(-87.86916, 18.138283)",18.138283,-87.86916,8,44,26.5625,28.03333282470703,24.46666717529297,1371,203,29,52.00565719604492,573,112,384,260,7.0416669845581055,64.6024398803711,152.71966552734375,31.700000762939453,20.799999237060547,10.900001525878906,26.766666412353516,25.866666793823242
Icterus auratus,12,1999,972863626,"c(-87.463356, 20.211857)",20.211857,-87.463356,6,45,25.899999618530273,27.549999237060547,23.700000762939453,1181,201,36,54.66366195678711,492,124,368,177,10.666666984558105,70.64018249511719,160.1277618408203,32.79999923706055,17.700000762939453,15.099998474121094,26.96666717529297,25.066667556762695
Icterus auratus,3,2010,972359427,"c(-88.13636, 20.89101)",20.89101,-88.13636,24,46,25.741666793823242,27.683334350585938,23.25,1240,196,37,60.092010498046875,545,121,444,135,13.983333587646484,71.70939636230469,183.56117248535156,35.20000076293945,15.699999809265137,19.5,27.266666412353516,23.83333396911621
Icterus auratus,3,2010,972358419,"c(-87.25754, 21.52897)",21.52897,-87.25754,3,47,25.483333587646484,27.483333587646484,22.899999618530273,1057,179,31,54.59486770629883,434,112,385,136,10.983333587646484,68.64583587646484,192.39324951171875,33,17,16,27,24.200000762939453
Icterus auratus,11,2013,972203121,"c(-87.93491, 20.612381)",20.612381,-87.93491,24,48,25.725000381469727,27.66666603088379,23.266666412353516,1129,171,42,55.945777893066406,474,133,373,136,13.616666793823242,71.29145050048828,182.3022003173828,34.79999923706055,15.699999809265137,19.099998474121094,27.33333396911621,23.733333587646484
Icterus auratus,3,2013,971564033,"c(-88.04192, 21.560135)",21.560135,-88.04192,7,49,25.695833206176758,27.46666717529297,23.21666717529297,785,131,21,53.77749252319336,322,79,278,123,11.524999618530273,71.14198303222656,178.24212646484375,33.29999923706055,17.100000381469727,16.19999885559082,26.94999885559082,24.799999237060547
Icterus auratus,4,2003,971054867,"c(-87.01876, 20.692213)",20.692213,-87.01876,5,50,26.183332443237305,28.266666412353516,23.633333206176758,1334,212,36,52.8734130859375,563,138,414,202,9.583333969116211,64.31766510009766,191.57640075683594,33.20000076293945,18.299999237060547,14.900001525878906,27.483333587646484,25.08333396911621
Icterus auratus,10,2013,969210080,"c(-89.65305, 20.684586)",20.684586,-89.65305,14,51,25.941665649414063,28.116666793823242,23.16666603088379,1084,187,24,72.79817962646484,538,79,259,99,14.09999942779541,67.14286041259766,203.46803283691406,36.599998474121094,15.600000381469727,20.999998092651367,27.166667938232422,25.633333206176758
Icterus auratus,10,2013,968857228,"c(-88.05297, 20.834587)",20.834587,-88.05297,21,52,25.799999237060547,27.700000762939453,23.33333396911621,1160,179,39,58.22744369506836,502,122,409,129,14.016667366027832,71.880340576171875,181.52134704589844,35.20000076293945,15.699999809265137,19.5,27.33333396911621,23.899999618530273
Icterus auratus,8,1994,968101028,"c(-90.29965, 20.98952)",20.98952,-90.29965,3,53,26.40416717529297,28.183334350585938,23.866666793823242,674,128,9,76.819000244140625,334,38,243,66,11.308333396911621,69.37627410888672,179.91738891601563,34.400001525878906,18.100000381469727,16.30000114440918,27.866666793823242,25.66666603088379
Icterus auratus,8,1994,968078174,"c(-87.14243, 20.581158)",20.581158,-87.14243,12,54,26.03333282470703,28.05000114440918,23.549999237060547,1336,218,36,54.343563079833984,570,138,422,195,9.716667175292969,65.21253204345703,185.7213592529297,33,18.100000381469727,14.899999618530273,27.28333282470703,25
Icterus auratus,10,2013,967728963,"c(-90.515884, 19.862453)",19.862453,-90.515884,10,55,26.733333587646484,28.850000381469727,23.983333587646484,1141,228,16,84.51060485839844,604,54,410,78,12.300000190734863,65.77539825439453,200.98997497558594,36.20000076293945,17.5,18.700000762939453,28.03333282470703,26.21666717529297
Icterus auratus,9,2013,967329709,"c(-87.04811, 20.86234)",20.86234,-87.04811,13,56,25.758333206176758,27.91666603088379,23.100000381469727,1300,200,43,48.57878112792969,530,149,406,209,10.383333206176758,64.89582824707031,199.31512451171875,33.20000076293945,17.200000762939453,16,27.183334350585938,24.549999237060547
Icterus auratus,5,2006,962442091,"c(-89.80331, 18.113344)",18.113344,-89.80331,244,57,25.483333587646484,27.549999237060547,22.700000762939453,1229,231,29,63.950504302978516,560,93,389,144,13.433333396911621,68.53741455078125,202.67901611328125,35.29999923706055,15.699999809265137,19.599998474121094,26.383333206176758,25.049999237060547
Icterus auratus,5,2006,962433467,"c(-88.54706, 19.171112)",19.171112,-88.54706,24,58,25.891666412353516,27.450000762939453,23.66666603088379,1075,172,30,56.055145263671875,451,99,353,131,12.933333396911621,73.904754638671875,159.35716247558594,34.400001525878906,16.899999618530273,17.500001907348633,26.850000381469727,25.33333396911621
Icterus auratus,7,2013,961494823,"c(-89.45158, 20.812279)",20.812279,-89.45158,17,59,25.77083396911621,27.883333206176758,22.983333587646484,1007,173,24,71.4708480834961,493,77,247,94,13.658332824707031,66.9526138305664,203.49732971191406,36,15.600000381469727,20.399999618530273,27.083332061767578,25.350000381469727
Icterus auratus,7,2013,961491684,"c(-89.36992, 20.659296)",20.659296,-89.36992,17,60,25.77083396911621,27.933334350585938,22.96666717529297,1037,179,24,71.45352935791016,507,80,261,90,14.024999618530273,67.10526275634766,205.02169799804688,36.29999923706055,15.399999618530273,20.899999618530273,27.049999237060547,23.83333396911621
Icterus auratus,2,2009,960998479,"c(-87.35283, 20.372454)",20.372454,-87.35283,13,61,25.84583282470703,27.633333206176758,23.53333282470703,1238,207,36,55.12931442260742,527,129,393,177,10.341666221618652,68.94444274902344,170.2332305908203,32.79999923706055,17.799999237060547,15,27.016666412353516,24.883333206176758
Icterus auratus,7,2013,960733714,"c(-86.85011, 21.050304)",21.050304,-86.85011,7,62,26.137500762939453,28.366666793823242,23.46666717529297,1248,194,40,47.91423797607422,502,140,392,199,10.208333015441895,64.60970306396484,202.69912719726563,33.599998474121094,17.799999237060547,15.799999237060547,27.583332061767578,24.883333206176758
Icterus auratus,7,2013,960480656,"c(-89.768974, 20.357222)",20.357222,-89.768974,62,63,25.524999618530273,27.71666717529297,22.633333206176758,1105,202,22,73.194091796875,539,81,285,83,14.133333206176758,66.66667175292969,210.02703857421875,36.099998474121094,14.899999618530273,21.19999885559082,26.850000381469727,23.53333282470703
Icterus auratus,3,1989,960222856,"c(-89.77055, 20.359735)",20.359735,-89.77055,53,64,25.549999237060547,27.733333587646484,22.700000762939453,1105,202,22,73.394500732421875,540,80,284,82,14.133333206176758,66.66666412353516,208.40301513671875,36.20000076293945,15,21.200000762939453,26.866666793823242,23.566665649414063
Icterus auratus,5,2010,959945503,"c(-87.17995, 20.563206)",20.563206,-87.17995,13,65,25.962499618530273,27.933334350585938,23.5,1316,216,36,55.20637893676758,566,136,420,187,9.858333587646484,65.72221374511719,183.04403686523438,32.900001525878906,17.899999618530273,15.000001907348633,27.183334350585938,24.933334350585938
Icterus auratus,5,2007,959590341,"c(-89.65208, 20.177711)",20.177711,-89.65208,71,66,25.508333206176758,27.66666603088379,22.683332443237305,1084,202,22,71.83370208740234,522,83,283,88,14.066665649414063,66.66667175292969,206.3407745361328,36.099998474121094,15,21.099998474121094,26.816665649414063,23.583332061767578
Icterus auratus,5,2007,959587729,"c(-89.77203, 20.35879)",20.35879,-89.77203,53,67,25.549999237060547,27.733333587646484,22.700000762939453,1105,202,22,73.394500732421875,540,80,284,82,14.133333206176758,66.66666412353516,208.40301513671875,36.20000076293945,15,21.200000762939453,26.866666793823242,23.566665649414063
Icterus auratus,5,2013,959143841,"c(-89.61754, 20.986044)",20.986044,-89.61754,14,68,26.47083282470703,28.433334350585938,23.799999237060547,955,161,22,68.418182373046875,452,70,352,102,13.108333587646484,68.27257537841797,191.34046936035156,36.099998474121094,16.899999618530273,19.19999885559082,27.75,25.950000762939453
Icterus auratus,7,2013,959087392,"c(-87.73732, 20.488255)",20.488255,-87.73732,13,69,25.379165649414063,27.266666412353516,22.883333206176758,1151,189,42,55.670108795166016,500,129,410,140,12.541666030883789,71.25946807861328,182.47613525390625,33.5,15.899999618530273,17.600000381469727,26.600000381469727,24.383333206176758
Icterus auratus,10,2010,958880251,"c(-86.96104, 20.756817)",20.756817,-86.96104,5,70,26.179166793823242,28.299999237060547,23.58333396911621,1308,204,38,51.807308197021484,547,139,402,199,9.558333396911621,64.1498794555664,194.0531463623047,33.20000076293945,18.299999237060547,14.900001525878906,27.483333587646484,25.049999237060547
Icterus auratus,6,2013,958868466,"c(-87.34117, 20.372162)",20.372162,-87.34117,6,71,25.920833587646484,27.71666717529297,23.616666793823242,1240,209,36,55.58554458618164,530,128,393,176,10.241666793823242,68.73602294921875,169.8723907470703,32.79999923706055,17.899999618530273,14.899999618530273,27.08333396911621,24.96666717529297
Icterus auratus,6,2013,958856877,"c(-87.43126, 20.21565)",20.21565,-87.43126,4,72,25.97916603088379,27.633333206176758,23.78333282470703,1186,205,35,56.11110305786133,502,122,371,172,10.441666603088379,70.55180358886719,159.9781036376953,32.79999923706055,18,14.799999237060547,27.049999237060547,25.133333206176758
Icterus auratus,5,2013,958174169,"c(-89.55111, 20.105556)",20.105556,-89.55111,110,73,25.35416603088379,27.46666717529297,22.566665649414063,1088,200,21,69.95183563232422,516,84,286,91,14.191666603088379,66.94182586669922,203.3744659423828,36,14.800000190734863,21.200000762939453,26.649999618530273,23.450000762939453
Icterus auratus,5,2013,956660078,"c(-89.55073, 20.08965)",20.08965,-89.55073,120,74,25.320833206176758,27.450000762939453,22.516666412353516,1087,200,22,70.08685302734375,516,83,285,92,14.22499942779541,67.09905242919922,205.59735107421875,36,14.800000190734863,21.200000762939453,26.649999618530273,23.41666603088379
Icterus auratus,5,2013,956643420,"c(-89.55058, 20.08735)",20.08735,-89.55058,120,75,25.320833206176758,27.450000762939453,22.516666412353516,1087,200,22,70.08685302734375,516,83,285,92,14.22499942779541,67.09905242919922,205.59735107421875,36,14.800000190734863,21.200000762939453,26.649999618530273,23.41666603088379
Icterus auratus,6,2013,956224361,"c(-89.64908, 20.307505)",20.307505,-89.64908,62,76,25.40833282470703,27.633333206176758,22.5,1083,204,23,71.8291015625,521,84,283,84,14.566666603088379,66.51445770263672,211.93731689453125,36.400001525878906,14.5,21.900001525878906,26.733333587646484,22.5
Icterus auratus,6,2013,956207393,"c(-89.77161, 20.358307)",20.358307,-89.77161,62,77,25.524999618530273,27.71666717529297,22.633333206176758,1105,202,22,73.194091796875,539,81,285,83,14.133333206176758,66.66667175292969,210.02703857421875,36.099998474121094,14.899999618530273,21.19999885559082,26.850000381469727,23.53333282470703
Icterus auratus,5,2013,954881230,"c(-86.83233, 21.120453)",21.120453,-86.83233,4,78,26.387500762939453,28.58333396911621,23.75,1232,192,40,47.98240280151367,494,140,392,192,10.475000381469727,65.88050842285156,199.37545776367188,33.79999923706055,17.899999618530273,15.899999618530273,27.83333396911621,25.116666793823242
Icterus auratus,12,2006,944630228,"c(-89.64449, 20.314688)",20.314688,-89.64449,60,80,25.412500381469727,27.650001525878906,22.483333587646484,1081,204,23,71.91838836669922,520,84,283,84,14.591667175292969,66.62861633300781,213.223388671875,36.400001525878906,14.5,21.900001525878906,26.75,23.399999618530273
Icterus auratus,2,2013,943916769,"c(-87.303795, 20.41117)",20.41117,-87.303795,3,81,25.941667556762695,27.80000114440918,23.600000381469727,1256,211,36,55.94352340698242,540,130,401,176,10.15000057220459,67.66666412353516,174.22340393066406,32.900001525878906,17.899999618530273,15.000001907348633,27.116666793823242,24.96666717529297
Icterus auratus,1,2005,943751238,"c(-88.574524, 20.680971)",20.680971,-88.574524,34,82,25.799999237060547,27.766666412353516,23.25,1218,207,30,64.58815002441406,559,105,433,123,14.100000381469727,70.14925384521484,187.09500122070313,35.70000076293945,15.600000381469727,20.100000381469727,27.21666717529297,23.916667938232422
Icterus auratus,2,2013,942864632,"c(-89.460686, 20.631338)",20.631338,-89.460686,15,83,25.85416603088379,28.066665649414063,23.016666412353516,1070,186,25,71.150909423828125,523,86,265,95,14.22499942779541,66.7840347290039,207.27078247070313,36.70000076293945,15.399999618530273,21.30000114440918,27.100000381469727,23.933334350585938
Icterus auratus,2,2013,942102821,"c(-87.226, 20.505295)",20.505295,-87.226,6,84,25.97083282470703,27.900001525878906,23.549999237060547,1297,215,36,55.50360870361328,558,135,414,182,10.041666984558105,66.50109100341797,179.71517944335938,32.900001525878906,17.799999237060547,15.10000228881836,27.149999618530273,24.983333587646484
Icterus auratus,2,2013,942016598,"c(-89.95378, 20.566751)",20.566751,-89.95378,61,85,25.941667556762695,27.933332443237305,23.316665649414063,1061,182,21,74.8404541015625,524,68,276,84,13.816666603088379,69.08333587646484,190.24903869628906,36,16,20,27.133333206176758,25.616666793823242
Icterus auratus,2,2010,941772570,"c(-87.53615, 20.19213)",20.19213,-87.53615,12,86,25.766666412353516,27.46666717529297,23.5,1205,192,38,51.02384948730469,491,131,375,197,11.033333778381348,70.27600860595703,165.8358154296875,32.900001525878906,17.200000762939453,15.700000762939453,26.899999618530273,24.900001525878906
Icterus auratus,2,2010,941716456,"c(-87.04257, 20.661438)",20.661438,-87.04257,12,87,26.179166793823242,28.266666412353516,23.633333206176758,1340,216,36,53.91910934448242,570,138,419,197,9.641666412353516,64.70918273925781,190.98377990722656,33.099998474121094,18.200000762939453,14.89999771118164,27.450000762939453,25.100000381469727
Icterus auratus,2,2013,941241106,"c(-87.731705, 20.490698)",20.490698,-87.731705,9,88,25.39583396911621,27.266666412353516,22.91666603088379,1155,190,41,55.629249572753906,502,128,410,141,12.508333206176758,71.07007598876953,181.85232543945313,33.5,15.899999618530273,17.600000381469727,26.600000381469727,24.41666603088379
Icterus auratus,2,2008,941111082,"c(-86.93932, 20.788536)",20.788536,-86.93932,5,89,26.15833282470703,28.299999237060547,23.566665649414063,1290,201,39,51.26385498046875,538,140,397,196,9.583333015441895,64.31766510009766,195.78318786621094,33.20000076293945,18.299999237060547,14.900001525878906,27.483333587646484,25
Icterus auratus,2,2013,940914101,"c(-87.004715, 20.945763)",20.945763,-87.004715,19,90,25.71666717529297,27.91666603088379,23.03333282470703,1283,197,43,47.324642181396484,516,148,400,211,10.449999809265137,64.906829833984375,202.11756896972656,33.20000076293945,17.100000381469727,16.100000381469727,27.183334350585938,24.450000762939453
Icterus auratus,2,2013,940909476,"c(-87.96446, 19.687845)",19.687845,-87.96446,17,91,26.02916717529297,27.766666412353516,23.683334350585938,1251,209,39,54.73650360107422,525,132,438,159,11.375,70.21604919433594,171.86752319335938,33.70000076293945,17.5,16.200000762939453,27.183334350585938,25.116666793823242
