species,decimalLatitude,decimalLongitude,month,year,gbifID
Icterus auratus,20.85785,-90.1902,1,2013,934406553
Icterus auratus,20.640112,-87.0727,3,2008,934117169
Icterus auratus,20.400505,-87.308586,2,2011,934090559
Icterus auratus,20.772518,-88.572078,11,1945,896276914
Icterus auratus,20.933922,-89.016764,5,1922,868467275
Icterus auratus,20.66894,-88.57841,3,1904,863451564
Icterus auratus,20.76727,-88.56675,4,1952,863451451
Icterus auratus,21.59223,-88.16508,4,1893,863451436
Icterus auratus,19.71732,-89.96678,5,1952,863451435
Icterus auratus,21.14891,-88.93842,10,1951,863451395
Icterus auratus,20.63856,-88.96656,3,1925,863440387
Icterus auratus,21.5666,-88.2316,12,2012,833099128
Icterus auratus,21.571938,-88.1183,12,2012,832862022
Icterus auratus,21.102694,-86.84829,12,2012,832849593
Icterus auratus,20.770166,-86.97499,11,2012,832767502
Icterus auratus,18.533474,-89.56729,11,2012,832735818
Icterus auratus,20.724482,-86.98101,3,2012,832730823
Icterus auratus,21.324236,-89.42444,12,2012,832695289
Icterus auratus,20.917414,-86.877014,2,2012,832558146
Icterus auratus,20.662413,-87.0389,1,2012,832518465
Icterus auratus,20.374582,-87.33738,5,2012,832447802
Icterus auratus,21.582453,-88.15657,12,2012,832430465
Icterus auratus,20.893993,-86.882164,2,2012,832399641
Icterus auratus,20.75933,-86.96136,1,2012,832274420
Icterus auratus,20.704214,-87.009605,2,2012,832239999
Icterus auratus,20.399794,-87.31149,2,2012,832223318
Icterus auratus,18.517757,-89.48409,1,2012,832195121
Icterus auratus,20.874905,-87.04014,5,2012,832178728
Icterus auratus,20.395975,-87.31429,5,2012,832108025
Icterus auratus,20.254896,-87.404594,5,2012,831963631
Icterus auratus,20.76559,-86.957664,2,2012,831957605
Icterus auratus,20.264723,-87.40274,5,2012,831874323
Icterus auratus,21.571678,-88.13051,5,2012,831849543
Icterus auratus,20.215141,-87.43045,5,2012,831811280
Icterus auratus,20.98652,-86.8354,4,2012,831745391
Icterus auratus,20.858688,-90.19041,6,2012,831650932
Icterus auratus,19.60483,-87.9954,5,2012,831563893
Icterus auratus,20.855104,-86.9125,12,2012,831532981
Icterus auratus,21.443056,-87.708755,7,2012,831396034
Icterus auratus,20.170355,-87.57575,1,2012,831312236
Icterus auratus,20.227564,-87.42618,5,2012,831172921
Icterus auratus,20.215935,-87.43369,5,2012,831136572
Icterus auratus,20.36297,-87.33897,12,2012,830849756
Icterus auratus,20.951397,-89.303276,12,2011,829780956
Icterus auratus,20.381155,-87.016174,3,2011,829704375
Icterus auratus,19.456429,-89.745590000000007,11,2010,829595261
Icterus auratus,20.34492,-87.34908,6,2009,829539766
Icterus auratus,20.663662,-87.03981,1,2008,829477301
Icterus auratus,20.61411,-87.09338,2,2005,829388293
Icterus auratus,19.985207,-89.00009,10,2005,829381853
